student,item1,item2,item3,item4,item5,item6,item7,item8,item9
s001,3,3,3,3,3,3,3,3,3
s002,2,1,4,4,3,4,4,4,2
s003,5,5,4,5,3,3,3,5,4
s004,5,5,5,5,2,5,5,5,5
s005,5,5,3,5,4,5,4,5,4
s006,5,4,2,5,2,3,5,5,3
s007,4,4,5,5,3,5,4,4,3
s008,5,5,2,2,3,5,3,3,3
s009,4,4,4,4,4,4,4,4,3
s010,4,4,3,4,2,3,4,3,3
s011,5,4,2,4,3,4,4,4,3
s012,3,3,4,4,4,4,4,4,3
s013,5,5,3,4,1,3,3,3,3
s014,5,5,5,5,2,2,5,5,2
s015,5,5,4,2,3,4,3,4,3
s016,1,5,2,4,2,4,5,4,2
s017,4,4,4,4,4,4,4,4,4
s018,4,4,4,2,3,5,4,4,3
s019,3,2,5,4,4,3,5,3,3
s020,5,5,5,5,3,4,4,4,4
s021,5,5,5,5,4,5,5,4,4
s022,4,4,4,4,2,3,2,4,3
s023,4,3,2,4,4,4,3,4,4
s024,5,5,4,5,3,5,5,4,2
s025,4,3,5,4,3,3,5,4,3
s026,5,4,4,5,3,5,5,4,4
s027,5,4,4,5,5,4,4,4,3
s028,4,4,3,2,4,4,4,3,3
s029,3,2,5,5,4,4,4,2,1
s030,5,5,4,5,3,5,3,4,4
s031,3,3,3,5,1,5,5,5,3
s032,4,4,3,5,2,3,2,4,4
s033,5,5,5,5,5,1,5,5,5
s034,4,4,5,5,3,5,5,5,5
s035,5,5,2,5,4,3,2,5,4
s036,5,4,3,5,3,4,4,4,4
s037,5,5,4,5,4,4,4,5,4
s038,5,1,2,5,3,3,2,5,4
s039,2,4,5,5,3,2,5,3,1
s040,5,2,5,5,4,5,5,2,1
s041,4,4,3,4,4,4,4,4,4
s042,5,4,4,2,3,4,4,4,3
s043,4,2,1,5,4,2,5,5,5
s044,3,4,4,2,3,3,3,3,2
s045,5,5,5,5,5,5,5,5,5
s046,5,5,5,4,2,3,4,4,3
s047,5,3,5,5,3,5,4,4,2
s048,4,4,4,5,3,4,2,4,3
s049,5,4,2,5,5,4,3,5,3
s050,5,4,4,2,2,3,4,4,3
s051,4,5,3,5,4,4,5,4,4
s052,5,5,1,1,3,5,3,5,5
s053,3,4,3,5,4,3,3,4,3
s054,5,4,5,2,4,5,3,5,4
s055,4,4,4,4,4,5,3,4,4
s056,5,4,5,1,3,4,4,4,3
s057,5,2,5,5,4,2,5,4,1
s058,5,5,4,4,5,5,4,5,4
s059,4,3,2,3,1,4,4,2,1
s060,2,2,4,4,4,5,2,4,2
s061,1,1,5,3,2,4,4,4,2
s062,5,5,4,5,3,4,4,4,4
s063,3,3,4,2,1,4,4,3,2
s064,4,3,5,4,2,3,5,4,3
s065,4,3,3,4,4,1,4,5,4
s066,4,4,4,5,4,4,4,4,3
s067,5,5,4,5,3,4,4,5,4
s068,4,4,5,5,4,4,5,5,5
s069,3,3,1,3,3,1,1,5,3
s070,5,4,5,5,3,2,5,5,4
s071,4,3,3,2,3,2,3,3,2
s072,2,2,3,3,3,4,3,4,3
s073,3,2,3,2,3,4,3,3,3
s074,5,5,2,5,4,4,3,5,4
s075,5,5,3,5,4,5,4,5,5
s076,5,4,1,4,4,5,4,4,4
s077,3,3,2,5,4,3,5,4,2
s078,3,5,4,5,4,4,4,4,3
s079,4,4,2,4,2,5,4,3,3
s080,4,4,4,4,3,4,4,4,4
s081,4,5,4,5,2,4,5,5,4
s082,5,5,5,4,3,1,3,5,4
s083,1,1,5,2,3,3,5,2,1
s084,2,1,4,2,3,4,4,2,1
s085,2,4,4,4,3,4,3,4,3
s086,4,4,5,5,4,4,5,4,3
s087,4,5,4,5,3,3,4,4,4
s088,3,3,3,1,3,3,3,3,3
s089,1,1,4,1,2,1,4,4,2
s090,1,1,3,1,2,2,3,3,3
s091,4,4,2,4,3,3,4,4,3
s092,5,5,5,4,3,4,4,5,4
s093,4,5,4,5,4,5,4,5,5
s094,5,4,5,5,4,5,5,5,4
s095,4,4,4,5,4,5,4,4,3
s096,5,4,2,4,3,4,2,5,4
s097,5,4,5,5,4,5,5,5,4
s098,5,5,4,5,4,5,4,5,4
s099,5,5,5,5,4,2,4,5,5
s100,5,4,4,4,3,5,5,5,4
s101,5,5,5,5,4,5,5,5,4
s102,5,5,4,2,2,4,4,4,2
s103,4,4,5,4,3,3,4,4,3
s104,5,4,5,5,4,3,5,5,4
s105,5,5,1,5,2,1,5,5,5
s106,5,5,3,5,2,4,4,4,4
s107,5,4,5,5,3,4,5,5,4
s108,5,5,3,4,3,4,3,4,4
s109,4,3,4,4,3,3,4,4,3
s110,4,5,3,5,4,5,5,5,3
s111,5,5,4,4,3,5,4,4,3
s112,5,5,4,5,3,5,4,4,3
s113,4,4,4,4,4,4,4,5,4
s114,4,3,5,4,3,3,5,4,2
s115,5,4,4,5,4,5,5,4,4
s116,5,4,4,5,3,4,5,5,4
s117,4,5,2,1,4,3,4,3,3
s118,4,3,4,5,3,4,3,1,1
s119,3,3,5,4,2,3,3,4,4
s120,5,4,4,5,3,5,3,4,3
s121,3,4,5,5,3,4,5,5,4
s122,4,4,3,5,4,5,4,5,5
s123,4,5,4,5,3,3,3,4,4
s124,3,3,2,5,2,4,2,4,3
s125,4,4,2,5,4,3,2,5,4
s126,5,5,5,5,5,4,4,4,4
s127,5,5,5,5,2,5,5,4,2
s128,5,4,5,5,3,5,5,5,4
s129,5,5,5,2,2,4,5,4,3
s130,4,3,3,4,5,3,4,3,4
s131,1,1,3,2,1,2,2,1,3
s132,5,5,4,4,5,3,3,5,4
s133,5,3,5,5,3,3,4,5,3
s134,5,5,4,5,2,4,4,4,4
s135,5,3,3,5,4,3,3,4,4
s136,4,4,4,5,4,4,2,4,4
s137,5,5,3,5,5,3,3,5,5
s138,4,3,4,5,2,4,4,4,4
s139,1,1,5,5,3,1,5,5,5
s140,5,4,5,4,4,4,5,4,3
s141,5,5,5,5,4,5,4,5,5
s142,4,4,4,2,4,2,4,4,2
s143,2,5,1,3,1,5,1,5,5
s144,2,1,4,4,2,3,4,4,2
s145,4,5,5,5,2,4,5,5,2
s146,5,3,5,4,3,3,5,4,2
s147,4,4,4,4,3,4,4,3,3
s148,4,4,5,5,4,5,2,5,3
s149,4,3,3,5,3,4,2,5,3
s150,5,4,2,5,3,1,4,4,3
s151,4,3,4,4,3,4,5,4,3
s152,5,5,4,4,3,5,4,4,3
s153,5,5,5,5,4,4,4,5,5
s154,4,3,2,4,4,4,3,4,4
s155,2,2,3,3,4,3,2,4,3
s156,4,3,5,4,3,4,5,5,4
s157,4,3,4,4,3,4,5,5,4
s158,5,5,5,5,5,5,5,5,5
s159,4,4,4,3,3,3,4,4,4
s160,3,4,3,1,3,4,3,4,3
s161,4,5,4,5,4,4,4,5,5
s162,1,4,1,5,4,1,3,4,4
s163,3,5,3,4,5,4,5,5,3
s164,1,2,2,1,2,1,2,2,2
s165,5,5,3,3,2,4,4,5,4
s166,4,3,3,4,3,4,2,4,3
s167,4,4,4,3,3,4,3,4,3
s168,5,5,4,5,4,5,4,5,5
s169,4,4,4,4,3,4,3,3,4
s170,4,5,3,5,3,5,5,5,5
s171,5,5,3,5,3,4,2,4,4
s172,5,3,5,5,4,5,5,5,3
s173,4,3,2,2,4,3,2,3,3
s174,5,5,3,4,3,4,4,4,3
s175,4,3,2,4,4,4,2,5,4
s176,1,1,1,1,3,1,1,1,1
s177,4,5,2,5,4,4,4,5,5
s178,4,4,3,5,4,4,2,4,4
s179,5,5,2,5,3,5,3,5,3
s180,4,4,4,5,3,4,3,5,4
s181,4,4,1,4,3,4,4,4,4
s182,5,4,5,5,1,3,5,5,4
s183,4,3,5,3,4,4,4,4,3
s184,5,4,2,3,3,5,5,4,3
s185,4,3,3,4,2,3,2,2,1
s186,4,3,3,2,3,3,3,2,4
s187,3,3,5,3,3,5,3,2,1
s188,4,4,4,4,4,4,4,4,4
s189,5,5,5,5,3,5,5,5,5
s190,5,5,3,5,4,4,4,4,4
s191,3,4,4,4,4,5,5,3,3
s192,5,4,4,5,3,5,4,4,3
s193,4,4,5,5,2,5,5,4,4
s194,5,4,5,4,3,3,5,5,4
s195,4,4,4,2,3,3,3,3,3
s196,5,5,4,5,3,5,5,5,4
s197,3,2,3,4,3,4,3,4,3
s198,5,5,2,1,4,5,3,3,4
s199,5,5,4,5,4,4,3,4,3
s200,3,2,3,2,3,4,5,3,3
